id,strength,name,tags
dcd54906-9271-42d2-85f1-a3d5663f34cb,,"Tanaka, Suguru",
32db461d-6bef-44c4-8607-fb6037c98e4b,,"Tan, Shaun","surrealism,whimsical"
15893219-436d-4c67-b9ef-d03f2e4a6d85,,"Tamayo, Rufino","surrealism,cubism,abstract"
5d7bd8e4-bc4d-4d8d-82f4-fb5d0d65816c,,"Takeuchi, Naoko","anime,manga"
d546e59b-05ab-4599-a5c3-20a59cea9055,,"Takahashi, Rumiko","anime,manga"
89f8ce48-3c16-4a97-948a-49423428b191,1,"Takahashi, Hiroyuki,b,i","colorful,portrait,anime,detailed"
2a35d592-82df-48fc-883e-da581428e590,3,"Sérusier, Paul","abstract,landscape,scene"
e68a5752-3a6f-4bab-823f-31c87b588cfe,,"Szukalski, Stanisław","sculpture,art deco,monochromatic,expressionism,surrealism"
b50c5bb5-f572-44a0-a9bd-f292d8d28f00,,"Swynnerton, Annie","portrait,symbolism"
89efa03c-22a5-42f6-80ed-d0c6fd0ba13e,,"Swanland, Raymond","fantasy,digital,dark"
65f027c6-95c4-4d25-be4f-fccc260fbd9b,,"Sutherland, Graham","abstract,landscape,expressionism"
0a89bcf1-1c5b-489f-8148-d53af8381cb6,2,"Surfleet, Leanne","photography,dark,portrait"
7fd69001-1f88-4e66-867a-b1f9f9995990,,"Sum, Brian","sci-fi,digital,character"
d0c33d18-6c63-470f-a277-a55e4e814b3b,,"Sugimori, Ken","anime,manga,watercolor,cartoon"
c54fe446-4f92-44ba-bd19-300feb06035a,,"Stubbs, George","animals,romanticism,landscape"
a6757db2-edda-44e8-bbee-f84ce60eae9a,,"Struzan, Drew","portrait,sci-fi,fantasy"
16222094-b776-4d93-b994-817af598662c,3,"Strid, Linnea","portrait,photography"
514f8361-2f68-4c73-ad3a-0fb9d10db391,3,"Streeton, Arthur","landscape,impressionism"
69ad9a5b-f77a-4e41-8f38-d908287f2442,3,"Strand, Paul","photography,monochromatic"
15f44fa7-bfd7-43fb-90a4-086483c52571,3,"Stout, William","detailed,dark,fantasy"
b19d0e11-56e2-467d-9aa6-08506a0262d4,,"Stookey, Ann","landscape,cityscape,whimsical"
513b9549-797d-4bcb-a0bd-1c7ac47ae9ae,,"Stokoe, James","comics,detailed"
487140c2-7d11-4566-8eff-5cfcf1abe5e3,,"Stevenson, ND","comics,character,cartoon"
3ff7eb59-e55f-4f43-9b73-1dba05b77155,3,"Stevens, Alfred","portrait,scene,impressionism,realism"
a023070e-8207-47d0-86a9-1bb2cc193e0d,,"Sternfeld, Joel","photography,landscape,scene"
8a596435-bc43-40db-bd00-c99e1b16178c,,"Steichen, Edward","photography,monochromatic,dark"
fccbf574-6f2d-4cc1-8b3c-440427892cf9,,"Starr, Leonard",
d4aa4ca7-a5c7-4ec0-a522-9a649d81b7f6,3,"Staples, Greg","comics,fantasy,scene"
35a4be3c-b5cd-4d2c-8048-8bdb98941d46,,"Stalenhag, Simon","landscape,sci-fi,digital"
3af11271-a7e1-44a9-a700-8aa4cd90a575,3,"Springer, Cornelis","landscape,architecture,cityscape"
7c076b3c-e4e4-4916-906b-7aadab214ada,,"Sowa, Michael","landscape,still life,surrealism,low contrast"
7e6ffc1e-d4f1-4b81-b5b6-193bb080ea2e,2,"Soth, Alec","photography,monochromatic,scene"
1078c02c-6f82-41af-ac2f-0eb2f7ea19bc,,"Sorolla, Joaquín","luminism,impressionism,portrait,landscape"
f3e7b6b9-3bc0-4f0f-9797-d4de87e38962,3,"Solimena, Francesco","baroque,detailed,scene"
f9cd3bb9-f6b5-48b1-bc29-3764de76d50a,3,"Soejima, Shigenori","anime,character"
e1b79b47-7749-4653-a0ff-8b0c989ed6f7,,"Snyder, Zack","dark,fantasy"
d66685e3-0f07-45a9-9072-8768728c26d2,,"Smith, Jeffrey","digital,surrealism,landscape,magical realism,cloudscape"
b89076b6-cedb-485d-99a3-da911eb118a3,,"Smith, Douglas","monochromatic,detailed"
8d094342-5dc5-4de7-8212-6c753a1722cb,,"Skizhali-Weiss, Arthur",
76325327-7b7a-4a34-8c45-8ac0617c25ef,1,"Siza, Álvaro",architecture
5a5fbae0-5e8a-4a6c-b631-86ff4192e98f,,"Siyah-Kalem, Mehmed",
8127ef56-a73a-45b2-bf51-89653750d099,,"Siudmak, Wojciech",
13acda86-8ed6-4434-9147-0317f97d185e,3,"Sisley, Alfred","impressionism,landscape,portrait"
7a075691-f025-47de-ac2a-b23f8da982ca,3,"Siskind, Aaron","photography,monochromatic"
705342b9-2e35-4626-940a-6d3255358d80,3,"Siqueiros, David Alfaro","realism,scene"
89af6a12-b85c-4dd6-8c1f-d05f3749b1df,,"Simonetti, Marc","dark,landscape,digital,fantasy"
2ce43590-e0ab-4f62-9b46-fd0d02bf0d78,3,"Signac, Paul","impressionism,scene,pointillism,landscape"
251f201c-8b92-4932-af6e-65bfdf6abc5f,,"Shumate, Tim","portrait,whimsical,cartoon"
3a0f7972-7e2c-41eb-9440-2b175abc6361,,"Shishkin, Ivan","realism,landscape"
6c0dfc4f-0523-452c-998f-e67965f36902,,"Shirow, Masamune","anime,cartoon,manga,comics,character,fantasy,sci-fi"
9e174d2e-2a5a-4b25-bfa3-4b793f2efd08,,"Shiota, Chiharu","vibrant,installation,messy,low contrast"
017570bc-f2fa-4c87-bf39-49f066bf17de,,"Shinkai, Makoto","landscape,anime,digital"
4889d235-9330-4a18-b79b-c8db55ff9dc5,,"Shimoda, Hikari","anime,colorful,manga,portrait"
2346ea1c-cc89-428c-a22f-3453d2fef0e1,1,"Sheridan, Duffy","portrait,photorealism"
d9a1b837-76bf-494c-b7f1-cdceadf20ddc,3,"Sheri, Irene","portrait,scene"
fc9f108b-b16a-4f41-8bc6-4dae4568f1cf,,"Shaw, Barclay","sci-fi,dark,angular,detailed"
ae921a94-b01f-43a5-a728-8b06682b3d56,,"Shau, Natalie","surrealism,digital,character"
9ccc96e7-5ded-4ea8-9cd1-ffb2ce84181d,,"Shaden, Brooke","dark,photography,magical realism"
0c1f50b5-0fd4-4c0b-9576-fd00ab7e10e7,,"Seveso, Alberto","colorful,vibrant,photography,abstract,digital"
959c9eec-7941-4562-b71e-9df659ceec73,3,"Severini, Gino","angular,abstract"
18c6f856-2acb-4c8e-9af0-a480473e096e,3,"Severin, Marie","comics,character,detailed"
1a5bc600-fe8e-45bc-a1e4-75ea5c8ddce1,2,"Serra, Richard","sculpture,installation"
bbbb3f44-fa19-4980-baaf-6d92fd157dc3,,"Serov, Valentin","impressionism,art nouveau,portrait"
7e469ad6-238a-437b-a309-1aa12737534e,3,"Senatore, Edmondo","photography,monochromatic,portrait"
aaf757d6-b516-4f4d-8a74-fc48aa509c28,1,"Sekoto, Gerard","impressionism,melanin"
f3f5f921-ca02-483e-af9a-63296d50cc4d,,"Schwabe, Carlos","symbolism,scene,detailed"
abce34f6-8d2e-48c2-af7a-b569c1c92f57,,"Schorr, Todd","pop art,surrealism,detailed"
55de8960-8797-4cf9-a787-be7f2aa6053e,3,"Scholder, Fritz","abstract,expressionism,portrait"
fcf5b32d-05f4-4e40-9cbb-e3da6b01ad78,,"Schloe, Christian","surrealism,romanticism,portrait"
5af75fd0-d278-43a1-9607-93ab52a74a55,,"Schiele, Egon","expressionism,art nouveau,impressionism,symbolism,character"
25c8c772-39c2-4bea-bc51-4b6d1f120588,,"Scheffer, Ary","romanticism,portrait"
0b6fd125-0a0d-4202-85bf-b1437012fb53,,"Schatzberg, Jerry","photography,monochromatic,portrait,character"
36e69c78-6e5a-4314-b76b-a2cd7fff8c61,,"Schatz, Howard","photography,portrait,character,surrealism"
3d5a09e1-bb4f-4cea-a090-c50da2f4eb09,,"Scharf, Kenny","pop art,colorful,vibrant,surrealism,psychedelic"
ecced9a8-5920-4b68-801b-d3c2c0b03660,,"Scarry, Richard","children's illustration,vibrant,whimsical"
60acfc9e-d2ba-45e7-8934-105e2507e10a,3,"Sarnoff, Arthur","scene,realism"
b32f3bc6-a7ad-4b1a-89e2-74323aeda665,,"Samori, Nicola","dark,portrait,sculpture"
6fab4ebd-6e8f-4de8-a64f-652c24c3ad2f,,"Salminen, John","watercolor,detailed,streetscape,messy"
faff518e-1fdb-4bd6-ac99-9dfaa758db0b,,Sailor Moon,"vibrant,anime"
d8501835-606e-4d6c-aacd-1fd9d781e37e,,"Sage, Amanda","psychedelic,vibrant,colorful,detailed"
7a85a30e-21a9-43aa-914f-6d3c9f1b59aa,3,"Safronow, Wlad","portrait,colorful,abstract,angular"
76faa8fd-f744-49aa-a516-56e55d54bfc1,3,"Safin, Marat","photography,portrait"
9f89170b-650a-45ef-8c05-d2e9ea387d12,2,"Sack, Steve",cartoon
35cc9398-4595-4116-9f94-cb882ce58012,,"Sack, Benjamin",
0a8394b4-16b0-403a-b09f-4a2fd339823d,,"Ryden, Mark","character,whimsical,dark,scene"
feabeb10-ccec-4c1e-b857-428583014e41,,"Rutkowski, Greg","dark,digital,fantasy,landscape"
5f476ee9-6b2b-4693-855c-5dbc2c0ba261,,"Rotella, Mimmo,b","collage,colorful,vibrant,messy"
3f8c8716-eb28-41ef-a70e-08a56cff6ca9,2,"Rosso, Medardo",sculpture
7f969cd5-f63a-4e12-9798-1589e67f8ffa,,"Rossier, Jessica","space,landscape,digital,dark"
f4d4aef8-23fd-4e76-b69c-1bf1513efbad,,"Ross, Bob","landscape,romanticism,impressionism"
2ccca734-8655-4713-a4fc-fb9fbf8fa1c9,,"Roset, Conrad","impressionism,watercolor,portrait,vibrant,colorful"
c652c757-e46a-4761-a1e0-0c2d6f704d91,2,"Ronquillo, Fatima","portrait,whimsical"
74ef8262-6b5b-43df-a78d-f649973724ba,,"Ronner-Knip, Henriëtte","animals,romanticism,still life"
7a372eda-5595-4243-88f9-24edad58677c,,"Rolando, Cyril","fantasy,whimsical,colorful,vibrant,digital,surrealism"
d769b66f-3daf-4b18-af04-78e1c7ee0d49,,"Rockwell, Norman","realism,scene"
